branch,status,last_commit_date,notes
fix/mobile-dashboard-compact-redesign,DELETED,2026-05-01,
fix/mobile-result-ux-round2a,DELETED,2026-05-02,
fix/newgrad-axis2-lift-rendering-field,DELETED,2026-05-03,
fix/newgrad-axis2-card3-industry-archetypes-batch1a,DELETED,2026-05-03,
fix/newgrad-axis1-economics-pmm-major-key-hit,DELETED,2026-05-03,
fix/newgrad-axis2-batch2a-copy-quality,DELETED,2026-05-03,
fix/newgrad-axis5-get-strength-groups-hotfix-v2,DELETED,2026-05-03,
fix/mobile-post-save-prompt-round3c,DELETED,2026-05-03,
fix/mobile-home-record-status-card,DELETED,2026-05-03,
fix/mobile-post-save-prompt,DELETED,2026-05-03,
fix/mobile-home-record-status-round3b,DELETED,2026-05-03,
fix/newgrad-axis4-stakeholder-copy-variation-clean,DELETED,2026-05-04,
fix/newgrad-axis4-stakeholder-context-grounding,DELETED,2026-05-04,
fix/newgrad-axis4-job-stakeholder-profiles-batch1,DELETED,2026-05-04,
fix/newgrad-axis4-copy-variation-final,DELETED,2026-05-04,
fix/newgrad-axis4-p3-industry-context-registry,DELETED,2026-05-04,
fix/newgrad-axis4-p3-wire-industry-context,DELETED,2026-05-04,
fix/newgrad-axis4-p3-render-industry-context,DELETED,2026-05-04,
qa/newgrad-axis4-p2-batch2-after-merge-reqa,DELETED,2026-05-04,
qa/newgrad-axis4-p1-hotfix-partial-reqa,DELETED,2026-05-04,
temp-safe,DELETED,2026-05-04,
qa/newgrad-report-e2e-after-axis1,DELETED,2026-05-04,
qa/axis1-special-output-quality,DELETED,2026-05-04,
fix/newgrad-axis5-strength-workstyle-grounding,DELETED,2026-05-04,
fix/newgrad-axis4-typo-match-contact,DELETED,2026-05-04,
qa/axis1-round3-output-quality,DELETED,2026-05-04,
fix/revert-axis2-batch2e-from-axis4-pr94,DELETED,2026-05-04,
fix/newgrad-axis4-conservative-tone-hotfix,DELETED,2026-05-04,
fix/newgrad-axis2-batch2c-content-media-entertainment,DELETED,2026-05-04,
fix/newgrad-axis2-batch2bc-dropdown-registry,DELETED,2026-05-04,
fix/newgrad-axis2-batch2e-manufacturing-it-retail,DELETED,2026-05-04,
fix/newgrad-axis2-batch2d-public-services,DELETED,2026-05-04,
docs/newgrad-axis4-p3-option-b-lock,DELETED,2026-05-04,
chore/github-actions-pr-validation,DELETED,2026-05-04,
fix/newgrad-axis1-major-job-fit-grounding,DELETED,2026-05-04,
fix/newgrad-axis2-batch2e-manufacturing-it-retail-clean,DELETED,2026-05-04,
fix/newgrad-axis3-detail-signal-separation-clean,DELETED,2026-05-04,
fix/newgrad-axis3-detail-signal-separation,DELETED,2026-05-04,
fix/newgrad-axis4-comparison-block-output-path,DELETED,2026-05-04,
fix/newgrad-axis3-experience-evidence-grounding-clean,DELETED,2026-05-04,
fix/newgrad-axis2-batch2g-healthcare-lifestyle-services,DELETED,2026-05-04,
fix/newgrad-axis2-batch2f-logistics-construction-energy-clean,DELETED,2026-05-04,
fix/newgrad-axis3-detail-reading-phase1,DELETED,2026-05-04,
fix/newgrad-axis2-education-label-mapping,DELETED,2026-05-04,
fix/newgrad-axis1-bridge-coverage-batch1,FAILED,2026-05-04,git branch -d refused: remote tracking divergence. -D forbidden.
