"RelativePath","FolderName","FileName","ExpectedCategoryId","ExpectedSubcategoryId","Id","CategoryId","SubcategoryId","Label","Issues"
"src\data\input_interpretation\career_accumulation\career_consistency.js","career_accumulation","career_consistency.js","CAREER_ACCUMULATION","CAREER_CONSISTENCY","INPUT_CAREER_CONSISTENCY","","","커리어 일관성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\career_accumulation\career_continuity.js","career_accumulation","career_continuity.js","CAREER_ACCUMULATION","CAREER_CONTINUITY","INPUT_CAREER_CONTINUITY","","","경력 연속성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\career_accumulation\gap_intensity.js","career_accumulation","gap_intensity.js","CAREER_ACCUMULATION","GAP_INTENSITY","INPUT_CAREER_GAP_INTENSITY","","","공백기 강도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\career_accumulation\job_change_frequency.js","career_accumulation","job_change_frequency.js","CAREER_ACCUMULATION","JOB_CHANGE_FREQUENCY","INPUT_JOB_CHANGE_FREQUENCY","","","이직 빈도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\career_accumulation\relevant_experience_level.js","career_accumulation","relevant_experience_level.js","CAREER_ACCUMULATION","RELEVANT_EXPERIENCE_LEVEL","INPUT_RELATED_EXPERIENCE_LEVEL","","","관련경력 수준","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\career_accumulation\total_experience_level.js","career_accumulation","total_experience_level.js","CAREER_ACCUMULATION","TOTAL_EXPERIENCE_LEVEL","INPUT_CAREER_TOTAL_EXPERIENCE_LEVEL","","","총경력 수준","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\company_size_transition_difficulty.js","compensation_market_mobility","company_size_transition_difficulty.js","COMPENSATION_MARKET_MOBILITY","COMPANY_SIZE_TRANSITION_DIFFICULTY","INPUT_COMPANY_SCALE_TRANSITION_DIFFICULTY","","","기업규모 전환 난이도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\current_salary_level.js","compensation_market_mobility","current_salary_level.js","COMPENSATION_MARKET_MOBILITY","CURRENT_SALARY_LEVEL","INPUT_CURRENT_COMPENSATION_LEVEL","","","현재 연봉 수준","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\expected_role_level_vs_compensation.js","compensation_market_mobility","expected_role_level_vs_compensation.js","COMPENSATION_MARKET_MOBILITY","EXPECTED_ROLE_LEVEL_VS_COMPENSATION","INPUT_COMPENSATION_EXPECTED_ROLE_LEVEL","","","보상 대비 기대 역할 수준","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\market_value_vs_compensation_position.js","compensation_market_mobility","market_value_vs_compensation_position.js","COMPENSATION_MARKET_MOBILITY","MARKET_VALUE_VS_COMPENSATION_POSITION","INPUT_COMP_MARKET_VALUE_POSITION","","","시장가치 대비 보상 위치","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\salary_growth_logic_fit.js","compensation_market_mobility","salary_growth_logic_fit.js","COMPENSATION_MARKET_MOBILITY","SALARY_GROWTH_LOGIC_FIT","INPUT_SALARY_GROWTH_LOGIC_FIT","","","연봉 상승 논리 적합도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\compensation_market_mobility\target_salary_jump_intensity.js","compensation_market_mobility","target_salary_jump_intensity.js","COMPENSATION_MARKET_MOBILITY","TARGET_SALARY_JUMP_INTENSITY","INPUT_TARGET_SALARY_JUMP_INTENSITY","","","목표 연봉 점프 강도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\certification_training_signal.js","education_foundation_signals","certification_training_signal.js","EDUCATION_FOUNDATION_SIGNALS","CERTIFICATION_TRAINING_SIGNAL","INPUT_FOUNDATION_CERT_EDU_SIGNAL","","","자격/교육 신호","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\early_career_entry_credibility.js","education_foundation_signals","early_career_entry_credibility.js","EDUCATION_FOUNDATION_SIGNALS","EARLY_CAREER_ENTRY_CREDIBILITY","INPUT_EARLY_CAREER_ENTRY_CREDIBILITY","","","초기 커리어 진입 신뢰도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\education_compensation_need.js","education_foundation_signals","education_compensation_need.js","EDUCATION_FOUNDATION_SIGNALS","EDUCATION_COMPENSATION_NEED","INPUT_EDUCATION_COMPENSATION_NEED","","","학력 보완 필요도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\education_requirement_fit.js","education_foundation_signals","education_requirement_fit.js","EDUCATION_FOUNDATION_SIGNALS","EDUCATION_REQUIREMENT_FIT","INPUT_EDUCATION_REQUIRED_FIT","","","학력 필수요건 적합도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\highest_education_level.js","education_foundation_signals","highest_education_level.js","EDUCATION_FOUNDATION_SIGNALS","HIGHEST_EDUCATION_LEVEL","INPUT_FINAL_EDUCATION_LEVEL","","","최종 학력 수준","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\education_foundation_signals\major_relevance.js","education_foundation_signals","major_relevance.js","EDUCATION_FOUNDATION_SIGNALS","MAJOR_RELEVANCE","INPUT_MAJOR_RELEVANCE","","","전공 연관성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\level_position_fit\decision_distance_fit.js","level_position_fit","decision_distance_fit.js","LEVEL_POSITION_FIT","DECISION_DISTANCE_FIT","INPUT_DECISION_DISTANCE_FIT","","","의사결정 거리 적합도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\level_position_fit\expected_seniority_fit.js","level_position_fit","expected_seniority_fit.js","LEVEL_POSITION_FIT","EXPECTED_SENIORITY_FIT","INPUT_LEVEL_YEARS_EXPECTATION_FIT","","","연차 기대치 적합도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\level_position_fit\leadership_experience_fit.js","level_position_fit","leadership_experience_fit.js","LEVEL_POSITION_FIT","LEADERSHIP_EXPERIENCE_FIT","INPUT_LEADERSHIP_EXPERIENCE_FIT","","","리더 경험 적합도","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
